txn_id,segment_code,segment_name
1,HRC,Healthcare
2,HRC,Healthcare
3,HRC,Healthcare
4,HRC,Healthcare
5,HRC,Healthcare
6,HRC,Healthcare
7,HRC,Healthcare
8,HRC,Healthcare
9,HRC,Healthcare
10,HRC,Healthcare
11,HRC,Healthcare
12,HRC,Healthcare
13,HRC,Healthcare
14,HRC,Healthcare
15,HRC,Healthcare
16,HRC,Healthcare
17,HRC,Healthcare
18,HRC,Healthcare
19,HRC,Healthcare
20,HRC,Healthcare
21,HRC,Healthcare
22,HRC,Healthcare
23,HRC,Healthcare
24,HRC,Healthcare
25,HRC,Healthcare
26,HRC,Healthcare
27,HRC,Healthcare
28,HRC,Healthcare
29,HRC,Healthcare
30,HRC,Healthcare
31,HRC,Healthcare
32,HRC,Healthcare
33,HRC,Healthcare
34,HRC,Healthcare
35,HRC,Healthcare
36,HRC,Healthcare
37,HRC,Healthcare
38,HRC,Healthcare
39,HRC,Healthcare
40,HRC,Healthcare
41,HRC,Healthcare
42,HRC,Healthcare
43,HRC,Healthcare
44,HRC,Healthcare
45,HRC,Healthcare
46,HRC,Healthcare
47,HRC,Healthcare
48,HRC,Healthcare
49,HRC,Healthcare
50,HRC,Healthcare
51,HRC,Healthcare
52,HRC,Healthcare
53,HRC,Healthcare
54,HRC,Healthcare
55,HRC,Healthcare
56,HRC,Healthcare
57,HRC,Healthcare
58,HRC,Healthcare
59,HRC,Healthcare
60,HRC,Healthcare
61,HRC,Healthcare
62,HRC,Healthcare
63,HRC,Healthcare
64,HRC,Healthcare
65,HRC,Healthcare
66,HRC,Healthcare
67,HRC,Healthcare
68,HRC,Healthcare
69,HRC,Healthcare
70,HRC,Healthcare
71,HRC,Healthcare
72,HRC,Healthcare
73,HRC,Healthcare
74,HRC,Healthcare
75,HRC,Healthcare
76,HRC,Healthcare
77,HRC,Healthcare
78,HRC,Healthcare
79,HRC,Healthcare
80,HRC,Healthcare
81,CON,Consumer
82,CON,Consumer
83,CON,Consumer
84,CON,Consumer
85,CON,Consumer
86,CON,Consumer
87,CON,Consumer
88,CON,Consumer
89,CON,Consumer
90,CON,Consumer
91,CON,Consumer
92,CON,Consumer
93,CON,Consumer
94,CON,Consumer
95,CON,Consumer
96,CON,Consumer
97,CON,Consumer
98,CON,Consumer
99,CON,Consumer
100,CON,Consumer
101,CON,Consumer
102,CON,Consumer
103,CON,Consumer
104,CON,Consumer
105,CON,Consumer
106,CON,Consumer
107,CON,Consumer
108,CON,Consumer
109,CON,Consumer
110,CON,Consumer
111,CON,Consumer
112,CON,Consumer
113,CON,Consumer
114,CON,Consumer
115,CON,Consumer
116,CON,Consumer
117,CON,Consumer
118,CON,Consumer
119,CON,Consumer
120,CON,Consumer
121,RET,Retail
122,RET,Retail
123,RET,Retail
124,RET,Retail
125,RET,Retail
126,RET,Retail
127,RET,Retail
128,RET,Retail
129,RET,Retail
130,RET,Retail
131,RET,Retail
132,RET,Retail
133,RET,Retail
134,RET,Retail
135,RET,Retail
136,RET,Retail
137,RET,Retail
138,RET,Retail
139,RET,Retail
140,RET,Retail
141,RET,Retail
142,RET,Retail
143,RET,Retail
144,RET,Retail
145,RET,Retail
146,RET,Retail
147,RET,Retail
148,RET,Retail
149,RET,Retail
150,RET,Retail
151,RET,Retail
152,RET,Retail
153,RET,Retail
154,RET,Retail
155,RET,Retail
156,RET,Retail
157,RET,Retail
158,RET,Retail
159,RET,Retail
160,RET,Retail
161,RET,Retail
162,RET,Retail
163,RET,Retail
164,RET,Retail
165,RET,Retail
166,RET,Retail
167,RET,Retail
168,RET,Retail
169,RET,Retail
170,RET,Retail
171,RET,Retail
172,RET,Retail
173,RET,Retail
174,RET,Retail
175,RET,Retail
176,RET,Retail
177,RET,Retail
178,RET,Retail
179,RET,Retail
180,RET,Retail
181,RET,Retail
182,RET,Retail
183,RET,Retail
184,RET,Retail
185,RET,Retail
186,RET,Retail
187,RET,Retail
188,RET,Retail
189,RET,Retail
190,RET,Retail
191,RET,Retail
192,RET,Retail
193,RET,Retail
194,RET,Retail
195,RET,Retail
196,RET,Retail
197,RET,Retail
198,RET,Retail
199,RET,Retail
200,RET,Retail
201,RET,Retail
202,RET,Retail
203,RET,Retail
204,RET,Retail
205,RET,Retail
206,RET,Retail
207,RET,Retail
208,RET,Retail
209,RET,Retail
210,RET,Retail
211,RET,Retail
212,RET,Retail
213,RET,Retail
214,RET,Retail
215,RET,Retail
216,RET,Retail
217,RET,Retail
218,RET,Retail
219,RET,Retail
220,RET,Retail
221,RET,Retail
222,RET,Retail
223,RET,Retail
224,RET,Retail
225,RET,Retail
226,RET,Retail
227,RET,Retail
228,RET,Retail
229,RET,Retail
230,RET,Retail
231,RET,Retail
232,RET,Retail
233,RET,Retail
234,RET,Retail
235,RET,Retail
236,RET,Retail
