shipment_id,tracking_no,order_id,warehouse_id,region_id,ship_date,eta_date,actual_arrival,shipping_method,freight_cost
1,TRK-2025-00001,1,4,4,2025-04-11,2025-04-12,2025-04-12,Sea Freight,434.41
2,TRK-2025-00002,2,1,2,2025-02-04,2025-02-08,2025-02-08,Truck,1550.33
3,TRK-2025-00003,3,1,3,2025-02-23,2025-02-24,2025-02-26,Air Freight,1519.58
4,TRK-2025-00004,4,4,1,2025-02-12,2025-02-18,2025-02-20,Air Freight,788.53
5,TRK-2025-00005,5,4,1,2025-04-13,2025-04-17,2025-04-19,Air Freight,601.82
6,TRK-2025-00006,6,4,4,2025-02-19,2025-02-25,2025-02-24,Air Freight,1151.15
7,TRK-2025-00007,7,2,3,2025-01-30,2025-02-01,2025-02-01,Air Freight,2380.91
8,TRK-2025-00008,8,3,1,2025-03-02,2025-03-08,2025-03-10,Sea Freight,2097.83
9,TRK-2025-00009,9,1,1,2025-02-08,2025-02-15,2025-02-17,Courier,1927.58
10,TRK-2025-00010,10,1,4,2025-04-26,2025-04-29,2025-04-30,Air Freight,2420.49
11,TRK-2025-00011,11,5,4,2025-01-31,2025-02-02,2025-02-01,Sea Freight,807.08
12,TRK-2025-00012,12,3,4,2025-01-15,2025-01-21,2025-01-21,Sea Freight,1394.29
13,TRK-2025-00013,13,5,1,2025-04-24,2025-05-01,2025-05-02,Sea Freight,653.24
14,TRK-2025-00014,14,5,6,2025-01-26,2025-02-02,2025-02-03,Courier,934.21
15,TRK-2025-00015,15,1,4,2025-02-13,2025-02-20,2025-02-21,Truck,2169.03
16,TRK-2025-00016,16,5,2,2025-03-07,2025-03-12,2025-03-14,Air Freight,1260.76
17,TRK-2025-00017,17,5,4,2025-04-10,2025-04-19,2025-04-21,Air Freight,746.03
18,TRK-2025-00018,18,4,4,2025-01-07,2025-01-12,2025-01-13,Sea Freight,727.64
19,TRK-2025-00019,19,5,3,2025-01-19,2025-01-22,2025-01-21,Air Freight,1858.48
20,TRK-2025-00020,20,2,3,2025-03-15,2025-03-18,2025-03-18,Sea Freight,1647.52
21,TRK-2025-00021,21,1,4,2025-02-04,2025-02-05,2025-02-07,Air Freight,363.92
22,TRK-2025-00022,22,1,4,2025-01-10,2025-01-14,2025-01-15,Sea Freight,1278.86
23,TRK-2025-00023,23,1,5,2025-03-23,2025-03-29,2025-03-29,Truck,2048.93
24,TRK-2025-00024,24,4,1,2025-01-22,2025-01-31,2025-01-31,Sea Freight,1507.79
25,TRK-2025-00025,25,5,4,2025-02-21,2025-02-26,2025-02-25,Sea Freight,531.80
26,TRK-2025-00026,26,3,4,2025-01-08,2025-01-18,2025-01-18,Air Freight,1089.31
27,TRK-2025-00027,27,3,4,2025-02-11,2025-02-19,2025-02-19,Sea Freight,2094.11
28,TRK-2025-00028,28,2,2,2025-01-24,2025-02-02,2025-02-03,Truck,843.72
29,TRK-2025-00029,29,5,5,2025-04-25,2025-04-26,2025-04-25,Truck,2282.61
30,TRK-2025-00030,30,3,3,2025-02-26,2025-02-28,2025-03-01,Truck,2274.68
31,TRK-2025-00031,31,4,3,2025-01-28,2025-02-05,2025-02-05,Courier,1492.83
32,TRK-2025-00032,32,1,4,2025-03-08,2025-03-16,2025-03-16,Sea Freight,1308.86
33,TRK-2025-00033,33,3,1,2025-01-12,2025-01-17,2025-01-18,Sea Freight,1634.48
34,TRK-2025-00034,34,2,1,2025-02-03,2025-02-07,2025-02-06,Courier,2210.32
35,TRK-2025-00035,35,1,2,2025-03-15,2025-03-19,2025-03-19,Courier,474.55
36,TRK-2025-00036,36,4,5,2025-03-18,2025-03-28,2025-03-28,Courier,236.77
37,TRK-2025-00037,37,3,1,2025-02-09,2025-02-17,2025-02-16,Air Freight,1654.27
38,TRK-2025-00038,38,4,2,2025-01-20,2025-01-27,2025-01-27,Truck,900.72
39,TRK-2025-00039,39,4,4,2025-01-18,2025-01-28,2025-01-27,Air Freight,1878.73
40,TRK-2025-00040,40,3,5,2025-03-07,2025-03-12,2025-03-12,Air Freight,2043.62
41,TRK-2025-00041,41,1,3,2025-01-14,2025-01-18,2025-01-19,Sea Freight,509.00
42,TRK-2025-00042,42,1,6,2025-03-30,2025-04-06,2025-04-08,Courier,432.18
43,TRK-2025-00043,43,1,2,2025-04-09,2025-04-11,2025-04-11,Courier,1048.16
44,TRK-2025-00044,44,1,5,2025-02-13,2025-02-20,2025-02-19,Sea Freight,394.81
45,TRK-2025-00045,45,2,2,2025-01-24,2025-01-25,2025-01-27,Courier,1881.44
