prod_order_id,prod_order_no,product_id,plant_id,plan_start_date,plan_end_date,planned_qty
1,MO-2025-0001,4,3,2025-02-08,2025-02-11,769.00
2,MO-2025-0002,8,3,2025-03-20,2025-03-22,859.00
3,MO-2025-0003,2,2,2025-01-02,2025-01-04,477.00
4,MO-2025-0004,5,3,2025-04-14,2025-04-15,1065.00
5,MO-2025-0005,4,1,2025-03-22,2025-03-26,900.00
6,MO-2025-0006,8,1,2025-01-23,2025-01-24,241.00
7,MO-2025-0007,10,3,2025-03-14,2025-03-16,757.00
8,MO-2025-0008,7,2,2025-03-19,2025-03-20,984.00
9,MO-2025-0009,1,1,2025-01-07,2025-01-08,1025.00
10,MO-2025-0010,9,1,2025-02-08,2025-02-09,112.00
11,MO-2025-0011,4,3,2025-02-01,2025-02-06,777.00
12,MO-2025-0012,3,1,2025-02-23,2025-02-25,186.00
13,MO-2025-0013,3,3,2025-04-09,2025-04-11,899.00
14,MO-2025-0014,7,3,2025-03-16,2025-03-19,362.00
15,MO-2025-0015,9,2,2025-02-20,2025-02-22,232.00
16,MO-2025-0016,3,3,2025-01-24,2025-01-28,1197.00
17,MO-2025-0017,9,4,2025-03-13,2025-03-18,1180.00
18,MO-2025-0018,10,4,2025-04-14,2025-04-18,922.00
19,MO-2025-0019,1,1,2025-01-19,2025-01-20,523.00
20,MO-2025-0020,1,2,2025-01-01,2025-01-02,215.00
21,MO-2025-0021,7,2,2025-03-14,2025-03-16,777.00
22,MO-2025-0022,2,3,2025-01-17,2025-01-21,779.00
23,MO-2025-0023,3,2,2025-01-16,2025-01-21,487.00
24,MO-2025-0024,4,2,2025-03-01,2025-03-04,366.00
25,MO-2025-0025,9,2,2025-04-05,2025-04-10,710.00
26,MO-2025-0026,6,3,2025-02-04,2025-02-06,441.00
27,MO-2025-0027,8,3,2025-01-02,2025-01-06,105.00
28,MO-2025-0028,1,4,2025-02-16,2025-02-19,817.00
29,MO-2025-0029,6,3,2025-01-23,2025-01-27,1080.00
30,MO-2025-0030,1,4,2025-01-21,2025-01-24,1189.00
31,MO-2025-0031,8,2,2025-04-12,2025-04-13,219.00
32,MO-2025-0032,4,3,2025-04-15,2025-04-18,410.00
33,MO-2025-0033,5,2,2025-03-27,2025-03-31,102.00
34,MO-2025-0034,5,4,2025-02-11,2025-02-12,807.00
35,MO-2025-0035,5,2,2025-02-15,2025-02-17,138.00
36,MO-2025-0036,2,2,2025-03-23,2025-03-26,977.00
37,MO-2025-0037,8,1,2025-03-03,2025-03-05,224.00
38,MO-2025-0038,4,2,2025-02-07,2025-02-12,840.00
39,MO-2025-0039,9,2,2025-03-13,2025-03-14,717.00
40,MO-2025-0040,7,3,2025-03-03,2025-03-08,1052.00
