result_id,prod_order_id,actual_date,actual_qty,scrap_qty,production_cost
1,1,2025-02-11,696.59,21.71,20434.35
2,2,2025-03-22,761.50,52.24,54987.00
3,3,2025-01-04,497.03,18.86,5780.43
4,4,2025-04-15,1100.17,64.80,16627.78
5,5,2025-03-26,834.08,33.65,24519.17
6,6,2025-01-24,240.66,14.73,16027.99
7,7,2025-03-16,737.98,33.37,8470.76
8,8,2025-03-20,1021.93,20.51,83290.78
9,9,2025-01-08,1043.50,34.73,17906.94
10,10,2025-02-09,102.86,6.20,1741.30
11,11,2025-02-06,725.57,12.85,21193.95
12,12,2025-02-25,188.66,4.06,4610.48
13,13,2025-04-11,874.15,17.72,22171.19
14,14,2025-03-19,377.11,19.25,28984.47
15,15,2025-02-22,211.86,12.76,2973.47
16,16,2025-01-28,1151.95,66.87,25437.10
17,17,2025-03-18,1043.01,32.25,14876.26
18,18,2025-04-18,861.32,65.02,10370.36
19,19,2025-01-20,473.01,22.97,9935.42
20,20,2025-01-02,210.11,15.93,4390.48
21,21,2025-03-16,733.92,53.10,63029.17
22,22,2025-01-21,712.84,31.09,9376.77
23,23,2025-01-21,503.13,11.14,10268.52
24,24,2025-03-04,330.75,11.60,9238.84
25,25,2025-04-10,630.42,43.22,8785.74
26,26,2025-02-06,390.77,15.08,4191.84
27,27,2025-01-06,98.77,3.77,7028.02
28,28,2025-02-19,732.93,14.52,15021.93
29,29,2025-01-27,997.38,56.12,12143.10
30,30,2025-01-24,1105.57,54.35,23477.98
31,31,2025-04-13,207.50,12.40,16029.51
32,32,2025-04-18,411.46,30.54,10171.82
33,33,2025-03-31,92.56,6.31,1594.57
34,34,2025-02-12,806.71,18.36,11868.18
35,35,2025-02-17,123.16,5.11,2049.30
36,36,2025-03-26,994.69,35.63,12859.73
37,37,2025-03-05,220.18,5.66,14895.79
38,38,2025-02-12,819.58,58.85,24289.72
39,39,2025-03-14,636.94,6.60,10438.02
40,40,2025-03-08,956.72,69.38,78482.24
