prod_order_id,segment_code,segment_name
1,RET,Retail
2,MFG,Manufacturing
3,HRC,Healthcare
4,RET,Retail
5,RET,Retail
6,MFG,Manufacturing
7,CON,Consumer
8,MFG,Manufacturing
9,HRC,Healthcare
10,CON,Consumer
11,RET,Retail
12,MFG,Manufacturing
13,MFG,Manufacturing
14,MFG,Manufacturing
15,CON,Consumer
16,MFG,Manufacturing
17,CON,Consumer
18,CON,Consumer
19,HRC,Healthcare
20,HRC,Healthcare
21,MFG,Manufacturing
22,HRC,Healthcare
23,MFG,Manufacturing
24,RET,Retail
25,CON,Consumer
26,RET,Retail
27,MFG,Manufacturing
28,HRC,Healthcare
29,RET,Retail
30,HRC,Healthcare
31,MFG,Manufacturing
32,RET,Retail
33,RET,Retail
34,RET,Retail
35,RET,Retail
36,HRC,Healthcare
37,MFG,Manufacturing
38,RET,Retail
39,CON,Consumer
40,MFG,Manufacturing
