item_id,order_id,product_id,qty_ordered,unit_price,discount_pct
1,1,1,120.00,29.14,0.05
2,1,7,103.00,100.80,0.00
3,1,5,44.00,22.72,0.05
4,1,3,76.00,29.17,0.00
5,2,5,101.00,19.90,0.10
6,3,10,112.00,19.17,0.05
7,3,6,79.00,16.07,0.00
8,3,1,7.00,30.10,0.05
9,4,5,44.00,17.97,0.10
10,5,10,59.00,19.07,0.05
11,5,1,51.00,24.14,0.10
12,5,3,22.00,30.60,0.05
13,6,10,35.00,17.27,0.00
14,6,9,14.00,20.65,0.00
15,7,1,18.00,30.42,0.10
16,7,5,21.00,24.30,0.02
17,7,5,118.00,23.55,0.10
18,7,8,75.00,82.43,0.05
19,8,2,38.00,15.31,0.00
20,8,7,58.00,113.65,0.02
21,8,2,49.00,18.12,0.02
22,8,4,69.00,39.23,0.00
23,9,5,96.00,23.07,0.02
24,9,1,11.00,30.05,0.00
25,9,7,67.00,119.97,0.02
26,10,2,52.00,15.10,0.00
27,10,6,70.00,12.49,0.10
28,10,3,86.00,35.65,0.10
29,10,4,12.00,32.38,0.02
30,11,1,109.00,24.25,0.05
31,12,3,110.00,31.12,0.00
32,13,1,87.00,30.21,0.10
33,13,10,71.00,14.20,0.10
34,14,8,56.00,101.60,0.05
35,14,8,31.00,80.26,0.00
36,14,5,102.00,21.21,0.00
37,14,5,77.00,19.24,0.00
38,15,2,97.00,18.38,0.10
39,15,4,77.00,31.42,0.10
40,15,10,24.00,15.55,0.02
41,15,8,66.00,108.06,0.10
42,16,1,48.00,23.03,0.00
43,17,7,41.00,94.94,0.02
44,17,2,33.00,14.48,0.10
45,17,10,8.00,16.28,0.00
46,17,10,96.00,17.48,0.05
47,18,4,35.00,30.83,0.10
48,18,4,48.00,39.76,0.10
49,18,3,80.00,31.17,0.10
50,18,7,43.00,98.10,0.05
51,19,5,116.00,18.10,0.02
52,20,8,58.00,81.52,0.00
53,20,7,30.00,95.89,0.02
54,20,10,63.00,15.55,0.10
55,21,7,13.00,118.29,0.05
56,22,5,72.00,18.22,0.02
57,23,6,81.00,15.58,0.00
58,24,2,34.00,19.83,0.00
59,24,7,38.00,114.11,0.00
60,25,10,22.00,15.95,0.02
61,25,10,8.00,19.21,0.00
62,25,2,89.00,19.61,0.10
63,25,6,88.00,15.88,0.00
64,26,8,51.00,107.36,0.05
65,26,3,63.00,34.57,0.02
66,27,8,54.00,88.91,0.10
67,27,1,18.00,22.41,0.05
68,27,1,93.00,28.53,0.05
69,27,3,79.00,33.48,0.00
70,28,4,100.00,36.39,0.00
71,28,7,56.00,93.19,0.00
72,29,3,9.00,35.28,0.02
73,29,9,92.00,18.93,0.05
74,29,2,40.00,19.05,0.10
75,30,4,63.00,44.16,0.10
76,30,6,69.00,14.52,0.10
77,30,9,19.00,19.48,0.05
78,31,4,73.00,42.93,0.02
79,31,7,19.00,114.78,0.05
80,32,3,19.00,29.48,0.00
81,32,6,95.00,14.29,0.05
82,32,3,108.00,33.70,0.05
83,33,10,20.00,16.97,0.05
84,34,9,94.00,18.40,0.02
85,34,5,5.00,17.94,0.05
86,35,9,114.00,23.26,0.02
87,35,1,71.00,23.45,0.02
88,35,7,23.00,91.45,0.00
89,35,5,30.00,21.08,0.10
90,36,6,101.00,14.62,0.10
91,36,5,102.00,18.61,0.05
92,36,1,20.00,23.62,0.10
93,36,2,22.00,17.53,0.10
94,37,6,99.00,15.85,0.00
95,37,6,108.00,14.46,0.02
96,37,5,57.00,21.04,0.05
97,37,1,44.00,23.25,0.02
98,38,5,86.00,24.60,0.00
99,39,2,104.00,15.85,0.10
100,39,8,111.00,89.33,0.00
101,39,5,112.00,24.55,0.10
102,39,7,57.00,118.25,0.02
103,40,8,17.00,109.72,0.05
104,40,8,76.00,109.83,0.10
105,40,2,66.00,19.01,0.05
106,41,3,110.00,31.47,0.00
107,41,10,16.00,15.67,0.02
108,41,8,28.00,95.12,0.10
109,42,6,72.00,16.66,0.00
110,42,4,40.00,35.72,0.10
111,42,1,12.00,25.89,0.10
112,42,3,118.00,28.33,0.00
113,43,10,35.00,15.46,0.02
114,43,4,85.00,37.72,0.02
115,44,2,26.00,19.12,0.10
116,44,6,90.00,13.32,0.00
117,45,10,89.00,16.60,0.00
118,45,6,42.00,13.68,0.10
119,45,3,27.00,28.38,0.10
120,46,6,51.00,16.32,0.10
121,46,2,11.00,18.23,0.10
122,47,2,70.00,17.31,0.10
123,48,7,55.00,92.83,0.02
124,48,8,44.00,85.77,0.10
125,48,7,56.00,86.97,0.00
126,49,10,94.00,15.43,0.05
127,49,8,63.00,102.91,0.00
128,49,10,64.00,18.91,0.05
129,49,3,49.00,30.78,0.05
130,50,2,61.00,17.24,0.02
131,51,6,120.00,13.83,0.00
132,51,9,26.00,18.02,0.05
133,51,9,15.00,19.99,0.02
134,51,10,12.00,19.21,0.00
135,52,5,52.00,22.61,0.00
136,53,8,21.00,102.95,0.00
137,53,9,98.00,22.82,0.00
138,54,5,89.00,24.81,0.10
139,54,1,94.00,28.65,0.00
140,55,2,91.00,15.40,0.02
141,55,5,20.00,20.16,0.05
142,55,9,103.00,21.24,0.10
143,55,3,12.00,32.04,0.05
144,56,10,85.00,15.08,0.05
145,57,1,18.00,23.74,0.00
146,58,5,50.00,24.64,0.00
147,59,7,53.00,94.24,0.05
148,59,8,17.00,110.97,0.00
149,59,3,84.00,28.40,0.05
150,59,10,41.00,15.75,0.02
151,60,2,83.00,15.70,0.02
