order_id,order_no,order_date,customer_id,salesperson_id,warehouse_id,order_status,payment_terms
1,SO-2025-0001,2025-04-09,9,4,4,SHIPPED,NET15
2,SO-2025-0002,2025-01-30,12,4,1,COMPLETED,NET45
3,SO-2025-0003,2025-02-22,11,2,1,CONFIRMED,COD
4,SO-2025-0004,2025-02-10,2,4,4,COMPLETED,COD
5,SO-2025-0005,2025-04-08,10,2,4,CONFIRMED,COD
6,SO-2025-0006,2025-02-14,5,5,4,CONFIRMED,NET45
7,SO-2025-0007,2025-01-25,4,7,2,COMPLETED,COD
8,SO-2025-0008,2025-02-26,10,5,3,CONFIRMED,COD
9,SO-2025-0009,2025-02-05,10,5,1,COMPLETED,COD
10,SO-2025-0010,2025-04-24,5,5,1,SHIPPED,NET15
11,SO-2025-0011,2025-01-26,9,2,5,SHIPPED,NET30
12,SO-2025-0012,2025-01-12,5,2,3,COMPLETED,NET15
13,SO-2025-0013,2025-04-19,1,7,5,SHIPPED,NET30
14,SO-2025-0014,2025-01-25,7,1,5,CONFIRMED,NET15
15,SO-2025-0015,2025-02-12,9,6,1,SHIPPED,NET45
16,SO-2025-0016,2025-03-04,3,2,5,CONFIRMED,NET45
17,SO-2025-0017,2025-04-05,5,2,5,CONFIRMED,COD
18,SO-2025-0018,2025-01-03,5,1,4,CONFIRMED,NET30
19,SO-2025-0019,2025-01-15,4,1,5,CONFIRMED,COD
20,SO-2025-0020,2025-03-13,11,3,2,CONFIRMED,NET45
21,SO-2025-0021,2025-01-29,5,6,1,CONFIRMED,NET15
22,SO-2025-0022,2025-01-08,5,4,1,CONFIRMED,COD
23,SO-2025-0023,2025-03-17,6,8,1,COMPLETED,COD
24,SO-2025-0024,2025-01-20,10,6,4,CONFIRMED,NET45
25,SO-2025-0025,2025-02-16,9,5,5,CONFIRMED,NET30
26,SO-2025-0026,2025-01-04,5,3,3,COMPLETED,NET30
27,SO-2025-0027,2025-02-06,5,1,3,COMPLETED,NET30
28,SO-2025-0028,2025-01-19,8,8,2,CONFIRMED,NET15
29,SO-2025-0029,2025-04-24,6,2,5,SHIPPED,NET30
30,SO-2025-0030,2025-02-25,11,2,3,COMPLETED,NET45
31,SO-2025-0031,2025-01-23,11,2,4,SHIPPED,NET30
32,SO-2025-0032,2025-03-04,5,6,1,SHIPPED,COD
33,SO-2025-0033,2025-01-09,1,4,3,CONFIRMED,COD
34,SO-2025-0034,2025-01-31,2,7,2,SHIPPED,NET15
35,SO-2025-0035,2025-03-09,8,7,1,COMPLETED,NET15
36,SO-2025-0036,2025-03-14,6,2,4,SHIPPED,NET45
37,SO-2025-0037,2025-02-05,10,5,3,CONFIRMED,NET45
38,SO-2025-0038,2025-01-16,12,3,4,CONFIRMED,NET15
39,SO-2025-0039,2025-01-16,9,4,4,CONFIRMED,NET45
40,SO-2025-0040,2025-03-05,6,7,3,SHIPPED,NET15
41,SO-2025-0041,2025-01-13,11,2,1,SHIPPED,NET45
42,SO-2025-0042,2025-03-25,7,2,1,SHIPPED,COD
43,SO-2025-0043,2025-04-08,12,8,1,CONFIRMED,NET45
44,SO-2025-0044,2025-02-12,6,5,1,CONFIRMED,NET15
45,SO-2025-0045,2025-01-23,8,4,2,CONFIRMED,NET45
46,SO-2025-0046,2025-01-17,4,1,1,COMPLETED,COD
47,SO-2025-0047,2025-02-23,12,8,4,COMPLETED,NET15
48,SO-2025-0048,2025-02-08,2,3,3,SHIPPED,NET15
49,SO-2025-0049,2025-02-06,6,7,2,COMPLETED,COD
50,SO-2025-0050,2025-03-12,5,8,5,COMPLETED,NET45
51,SO-2025-0051,2025-03-12,2,5,2,CONFIRMED,NET15
52,SO-2025-0052,2025-01-23,12,8,2,CONFIRMED,COD
53,SO-2025-0053,2025-01-24,5,7,5,COMPLETED,NET45
54,SO-2025-0054,2025-04-07,10,2,5,CONFIRMED,NET30
55,SO-2025-0055,2025-03-26,5,7,4,SHIPPED,NET15
56,SO-2025-0056,2025-04-10,5,8,5,SHIPPED,COD
57,SO-2025-0057,2025-04-07,11,3,2,COMPLETED,NET15
58,SO-2025-0058,2025-02-05,7,2,5,CONFIRMED,NET30
59,SO-2025-0059,2025-01-04,3,4,3,SHIPPED,NET30
60,SO-2025-0060,2025-03-16,8,8,2,SHIPPED,NET45
