txn_id,product_id,warehouse_id,txn_date,txn_type,qty_in,qty_out,unit_cost
1,1,1,2025-01-01,IN,30.00,0.00,19.24
2,1,1,2025-01-03,OUT,0.00,77.00,19.39
3,1,1,2025-01-07,IN,60.00,0.00,18.91
4,1,1,2025-01-09,OUT,0.00,72.00,19.48
5,1,1,2025-01-13,IN,180.00,0.00,18.90
6,1,1,2025-01-15,OUT,0.00,95.00,19.16
7,1,1,2025-01-19,IN,123.00,0.00,18.48
8,1,1,2025-01-21,OUT,0.00,33.00,18.69
9,1,1,2025-01-25,IN,108.00,0.00,19.47
10,1,1,2025-01-27,OUT,0.00,37.00,19.48
11,1,1,2025-01-31,IN,67.00,0.00,18.99
12,1,1,2025-02-02,OUT,0.00,83.00,18.93
13,1,1,2025-02-06,IN,44.00,0.00,18.32
14,1,1,2025-02-08,OUT,0.00,120.00,18.80
15,1,1,2025-02-12,IN,22.00,0.00,18.16
16,1,1,2025-02-14,OUT,0.00,14.00,18.21
17,1,1,2025-02-18,IN,104.00,0.00,18.83
18,1,1,2025-02-20,OUT,0.00,12.00,18.65
19,1,1,2025-02-24,IN,81.00,0.00,18.71
20,1,1,2025-02-26,OUT,0.00,123.00,18.95
21,1,1,2025-03-02,IN,104.00,0.00,19.26
22,1,1,2025-03-04,OUT,0.00,76.00,19.06
23,1,1,2025-03-08,IN,163.00,0.00,18.68
24,1,1,2025-03-10,OUT,0.00,80.00,18.69
25,1,1,2025-03-14,IN,179.00,0.00,18.17
26,1,1,2025-03-16,OUT,0.00,94.00,19.59
27,1,1,2025-03-20,IN,127.00,0.00,18.83
28,1,1,2025-03-22,OUT,0.00,80.00,19.02
29,1,1,2025-03-26,IN,156.00,0.00,19.11
30,1,1,2025-03-28,OUT,0.00,58.00,18.58
31,1,1,2025-04-01,IN,176.00,0.00,18.70
32,1,1,2025-04-03,OUT,0.00,124.00,18.94
33,1,1,2025-04-07,IN,110.00,0.00,18.48
34,1,1,2025-04-09,OUT,0.00,41.00,19.05
35,1,1,2025-04-13,IN,135.00,0.00,19.27
36,1,1,2025-04-15,OUT,0.00,12.00,18.86
37,1,1,2025-04-19,IN,65.00,0.00,18.71
38,1,1,2025-04-21,OUT,0.00,127.00,18.66
39,1,1,2025-04-25,IN,36.00,0.00,18.67
40,1,1,2025-04-27,OUT,0.00,66.00,18.58
41,2,1,2025-01-01,IN,61.00,0.00,13.11
42,2,1,2025-01-03,OUT,0.00,107.00,12.38
43,2,1,2025-01-07,IN,126.00,0.00,12.89
44,2,1,2025-01-09,OUT,0.00,35.00,12.77
45,2,1,2025-01-13,IN,137.00,0.00,12.67
46,2,1,2025-01-15,OUT,0.00,101.00,12.52
47,2,1,2025-01-19,IN,153.00,0.00,13.13
48,2,1,2025-01-21,OUT,0.00,56.00,12.80
49,2,1,2025-01-25,IN,84.00,0.00,12.79
50,2,1,2025-01-27,OUT,0.00,116.00,12.45
51,2,1,2025-01-31,IN,174.00,0.00,12.44
52,2,1,2025-02-02,OUT,0.00,34.00,12.50
53,2,1,2025-02-06,IN,133.00,0.00,13.04
54,2,1,2025-02-08,OUT,0.00,85.00,12.93
55,2,1,2025-02-12,IN,33.00,0.00,12.68
56,2,1,2025-02-14,OUT,0.00,107.00,12.51
57,2,1,2025-02-18,IN,168.00,0.00,12.50
58,2,1,2025-02-20,OUT,0.00,77.00,12.30
59,2,1,2025-02-24,IN,77.00,0.00,13.13
60,2,1,2025-02-26,OUT,0.00,102.00,12.84
61,2,1,2025-03-02,IN,89.00,0.00,12.69
62,2,1,2025-03-04,OUT,0.00,23.00,12.47
63,2,1,2025-03-08,IN,163.00,0.00,13.03
64,2,1,2025-03-10,OUT,0.00,115.00,12.31
65,2,1,2025-03-14,IN,136.00,0.00,12.15
66,2,1,2025-03-16,OUT,0.00,69.00,12.87
67,2,1,2025-03-20,IN,35.00,0.00,12.94
68,2,1,2025-03-22,OUT,0.00,133.00,13.08
69,2,1,2025-03-26,IN,136.00,0.00,13.09
70,2,1,2025-03-28,OUT,0.00,113.00,12.22
71,2,1,2025-04-01,IN,53.00,0.00,13.10
72,2,1,2025-04-03,OUT,0.00,114.00,13.09
73,2,1,2025-04-07,IN,96.00,0.00,12.50
74,2,1,2025-04-09,OUT,0.00,67.00,13.10
75,2,1,2025-04-13,IN,52.00,0.00,12.19
76,2,1,2025-04-15,OUT,0.00,41.00,12.44
77,2,1,2025-04-19,IN,178.00,0.00,12.56
78,2,1,2025-04-21,OUT,0.00,14.00,13.13
79,2,1,2025-04-25,IN,167.00,0.00,12.31
80,2,1,2025-04-27,OUT,0.00,88.00,12.70
81,3,1,2025-01-01,IN,170.00,0.00,22.43
82,3,1,2025-01-03,OUT,0.00,122.00,23.43
83,3,1,2025-01-07,IN,68.00,0.00,23.22
84,3,1,2025-01-09,OUT,0.00,27.00,23.42
85,3,1,2025-01-13,IN,28.00,0.00,22.01
86,3,1,2025-01-15,OUT,0.00,56.00,22.89
87,3,1,2025-01-19,IN,117.00,0.00,23.35
88,3,1,2025-01-21,OUT,0.00,17.00,22.21
89,3,1,2025-01-25,IN,122.00,0.00,23.19
90,3,1,2025-01-27,OUT,0.00,134.00,21.89
91,3,1,2025-01-31,IN,171.00,0.00,23.21
92,3,1,2025-02-02,OUT,0.00,119.00,22.04
93,3,1,2025-02-06,IN,62.00,0.00,23.33
94,3,1,2025-02-08,OUT,0.00,44.00,22.31
